delta,theta,alpha,beta,mano
0.3124776091037537,-0.2746087101403182,-0.3870072026479309,-0.7922204048311338,close
0.32849804106500224,-0.4239557230047955,-0.464065141199948,-0.5139156792939799,close
0.34157205133227514,-0.07785952371833188,-0.25589682962869875,-0.5660153047007146,close
0.3334859362778697,-0.37038598004450646,-0.2901826529990837,-0.4885495691488715,close
0.2624627084220948,-0.22388529884797484,-0.2577603641552813,-0.5398031586803302,close
0.29677851480314577,-0.20004299744710827,-0.3160044394120181,-0.5212032267656886,close
0.317148462641384,-0.2611813619570221,-0.4804449900063304,-0.5873544389836202,close
0.24789291818663411,-0.43337951236491923,-0.4256311981156928,-0.6771036419169513,close
0.24747677475237476,-0.3988222628556715,-0.5646645302444995,-0.7506206029423066,close
0.2640424330995009,-0.4006042223472833,-0.38316030813904606,-0.6242388587223685,close
0.20538287288659957,-0.25190042599111884,-0.6756403080306168,-0.5993033966429284,close
0.3355838580400752,-0.17534985613480822,-0.3094457845397214,-0.6480230869119276,close
0.11664322192838873,-0.29110760678511843,-0.5946037071101165,-0.674244212058161,close
0.30365718462043084,-0.49476180170049716,-0.6510736367128721,-0.6078828106070625,close
0.23662741066684653,-0.25482213429430844,-0.3643787957228159,-0.39349114074857305,close
0.31132914637344433,-0.22589202212823276,-0.4102458004058321,-0.6176154185734065,close
0.3408577187615004,-0.27653268718517754,-0.5190893991214572,-0.7083956740243973,close
0.3683275187384683,-0.18491576500613321,-0.3905592319630619,-0.6352723424311575,close
0.29621183581903754,-0.33645862861213743,-0.317501412158015,-0.6955634953351125,close
-0.03420151341143229,-0.4717322623871981,-0.8669775408652286,-0.5652463128795474,close
0.27150406959464307,-0.242479496429693,-0.7695020368709942,-0.6729735376689562,close
0.24323819218224466,-0.23459086311428062,-0.7324656027202838,-0.9130925147471192,close
-0.009423714060374084,-0.6197262175916274,-0.6481671765427857,-0.8045972286642841,close
0.2953707791627257,-0.2922412390820999,-0.7440421347734832,-1.082099374755723,close
0.2617800665601239,-0.5116616621591668,-0.6341736136064554,-0.7471051690221335,close
0.27348496243415904,-0.33388088257226717,-0.5935711702672511,-0.6529522642478568,close
0.22299389137546813,-0.4644079537032696,-0.28449063633655747,-0.7205033053600819,close
0.24146625927683496,-0.49316109866741115,-0.4619110949780432,-0.6795115021286714,close
0.3171122023260023,-0.4467827998488667,-0.36074645424371654,-0.5907634826550322,close
0.29709419339385895,-0.3457378951062206,-0.287668671303168,-0.6557970220707356,close
0.3185228967697314,-0.09327715885857897,-0.35700866752758426,-0.5564374970629212,close
0.36728883919760724,-0.1638934668626917,-0.37242053759118426,-0.857474894930616,close
0.28153462108357574,-0.1562360832652734,-0.48831170231458376,-0.6449314097753874,close
0.287324732178666,-0.3033680686953004,-0.725521673688554,-0.6960369650783504,close
0.28901895359267377,-0.34564267732582155,-0.48139864006965427,-0.6272827547986413,close
0.28921499041556026,-0.2899764344822789,-0.3737510825492445,-0.46210910050996323,close
0.34847155014951703,-0.13374256034968238,-0.3323361394681164,-0.5347368246597722,close
0.3576414426242574,-0.23773264942847588,-0.44750214420975254,-0.6398572220274225,close
0.2957317312031495,-0.38146733827832024,-0.42626235421622694,-0.5837265388587398,close
0.2659540473431912,-0.634940470860323,-0.4973244589849601,-0.5703632457254911,close
0.2946535603985674,-0.4559536288872599,-0.5024359519699041,-0.6086124298475243,close
0.3375375252243578,-0.1525129206521341,-0.23238650242989978,-0.5281488781408694,close
0.19772508499894256,-0.25411681262644353,-0.4231963532151443,-0.6790803328132431,close
0.31384756426879706,-0.3113034360939849,-0.31272682108768024,-0.5017899405854269,close
0.3373151504197911,-0.14980834903390283,-0.2810073719763864,-0.43233419905573206,close
0.268921598636228,-0.3989853763340647,-0.27916062543212034,-0.5786275287876201,close
0.3555159456260731,-0.15414039517741834,-0.3643877682005575,-0.616320750016248,close
0.2948169194808409,-0.5044252326475916,-0.7699670476964805,-0.6800734655059406,close
0.2850254359625484,-0.6324811727824597,-0.8118654892605789,-0.7093723460585522,close
0.31269388605008286,-0.43855959363519,-0.5523425713697216,-0.6545831346012886,close
0.3298455229073985,-0.1805421002536994,-0.5991322924671051,-0.7768482084490809,close
0.37075104068843284,-0.3225869781149062,-0.6941636458791665,-0.8280940917909951,close
0.3897154279070237,-0.24956498375350367,-0.3599012692499795,-0.7933356522261262,close
