delta,theta,alpha,beta,mano
1.9821103368391488,1.3510951194202259,1.1061357271244863,0.8010037521254237,close
1.8913591061510546,1.3522789946387952,1.2126406406796773,0.8132488939367946,close
1.7299087583696524,1.6202176572483176,1.443631816220501,0.9134819132862994,close
1.889021445691847,1.3578967386388683,1.2225840509855659,0.8298487974417188,close
1.6959982571065948,1.4686244674744646,1.1531900519874445,0.8126308795542685,close
1.5907222044595453,1.5477043397646464,1.0775155592041479,0.8393585823522711,close
1.7419018018824877,1.4541994888723224,1.119864743039949,0.8092831387996684,close
1.7304708787600063,1.4676763421539334,1.2801881448057493,0.9424433222185324,close
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,close
1.9765004053981277,1.347259063753298,1.0993726641133053,0.8140480994750307,close
1.9764928459185227,1.3472580346031193,1.0993699357620481,0.8141631316206874,close
1.6514847042522445,1.5635182688750118,1.4842885208014795,0.8195133447513382,close
1.8254882103441616,1.360802007520447,1.2821669895480068,0.8568013960534013,close
1.4585924260571954,1.5108510608107482,1.2143416282644388,0.7488740476868069,close
1.9765039004747074,1.3472589381761348,1.0993701314867332,0.8140472968330598,close
1.976500862665127,1.3472596051429513,1.0993730024596902,0.8140471403009923,close
1.9400537056567968,1.36103846703127,1.107480144270755,0.8109781007754064,close
1.9765127618134113,1.3472941425617362,1.099395807564425,0.8141722658371471,close
1.8251421760408089,1.373849012252392,1.2002638555411709,0.8114966249604929,close
1.6197105264946647,1.6049398909225447,0.8987300919288879,0.8939735739254603,close
1.2565374607157433,1.5615436974413321,1.405136944909872,0.9993466979505657,close
1.893775513457106,1.2636958101492126,1.0655349576871267,0.6579528273586267,close
1.8037067039474297,1.3361877251273402,1.2318198430742073,0.7232015661265799,close
1.6958540381527192,1.6354578638686617,1.4140145332263465,0.8665220566043665,close
1.9643161652418986,1.3463759188563222,1.109598186253788,0.8080278887292452,close
1.963729353021431,1.3542903075452184,1.0984260424518266,0.8148796925181158,close
1.8913568246717347,1.435246182760836,1.03244189036152,0.9030841849327341,close
1.7932502480895578,1.4079810625770646,1.1512954393347223,0.8252625662909869,close
1.5987002984096286,1.59730041158942,1.4067473785810327,0.8483775020315373,close
1.6225819562875154,1.5757077906127566,1.376761341881258,0.7843125486492104,close
1.512832659611632,1.400804743043607,1.0735131256245594,1.0596578866269364,close
1.6578105548212292,1.6185969975330992,1.436406574596149,0.9084919559072395,close
1.1471894324927612,1.505877019646073,1.4884214278022356,1.0779345272306775,close
1.8631304701489688,1.3487899492818691,1.2201879636341109,0.8133388927846975,close
1.611637620927025,1.3582085267838393,1.5191553189581317,1.126495158262942,close
1.9766365840334401,1.3475353887131953,1.0996964174164325,0.8149099525859964,close
1.9765047160720681,1.3473016141262288,1.0994435368841886,0.814003979124028,close
1.8679845966342812,1.409025680754532,1.3458598014727319,1.0198739781950603,close
1.6817723934222735,1.6240832274626271,1.4243464511164092,0.8257969389733617,close
